ID,Flight Number,Origin Airport,Origin Code,Destination Airport,Destination Code,Departing Date,Departing Time,Duration,Distance,Time Zone Difference,Arrival Date,Arrival Time,Flight Type,Surcharge,Food Served,Route Cost,Miner Points,Total Seats,First Class Seats,Business Class Seats,Main Cabin Seats,First Class Price,Business Class Price,Main Cabin Price,First Class Seats Sold,Business Class Seats Sold,Main Cabin Seats Sold,Total First Class Revenue,Total Business Class Revenue,Total Main Cabin Revenue
1220,2351220,Abraham Gonzalez International Airport,CJS,Aeropuerto Internacional Benito Juarez,MEX,4/5/2023,8:25 AM,142,957.0,1,4/5/2023,11:47 AM,International,3.0,true,71871.0,2871,167,14,52,101,8449.0,3315.0,1077.0,0,0,0,0.0,0.0,0.0
1217,2321217,Heathrow Airport,LHR,El Paso International Airport,ELP,4/5/2023,8:25 AM,645,5148.0,-7,4/5/2023,12:10 PM,International,13.0,true,72726.0,15444,150,13,42,95,12060.0,3001.0,1121.0,0,0,0,0.0,0.0,0.0
1216,2311216,Heathrow Airport,LHR,El Paso International Airport,ELP,4/5/2023,5:30 AM,645,5148.0,-7,4/5/2023,9:15 AM,International,13.0,true,72726.0,15444,163,10,57,96,9918.0,2982.0,1272.0,0,0,0,0.0,0.0,0.0
1215,2301215,El Paso International Airport,ELP,Heathrow Airport,LHR,4/5/2023,12:10 PM,645,5148.0,7,4/7/2023,5:55 AM,International,13.0,true,66329.0,15444,152,9,55,88,10385.0,5546.0,825.0,0,0,0,0.0,0.0,0.0
1214,2381214,El Paso International Airport,ELP,Heathrow Airport,LHR,4/5/2023,8:25 AM,645,5148.0,7,4/7/2023,2:10 AM,International,13.0,true,66329.0,15444,178,12,63,103,8030.0,3541.0,1202.0,0,0,0,0.0,0.0,0.0
1213,2371213,El Paso International Airport,ELP,Heathrow Airport,LHR,4/5/2023,5:30 AM,645,5148.0,7,4/5/2023,11:15 PM,International,13.0,true,66329.0,15444,147,13,49,85,7342.0,3571.0,775.0,0,0,0,0.0,0.0,0.0
1212,2361212,Harry Reid International Airport,LAS,El Paso International Airport,ELP,4/5/2023,12:10 PM,97,582.0,1,4/5/2023,2:47 PM,Domestic,0.0,false,16242.0,1164,164,15,57,92,2275.0,738.0,284.0,0,0,0,0.0,0.0,0.0
1211,2351211,Harry Reid International Airport,LAS,El Paso International Airport,ELP,4/5/2023,8:25 AM,97,582.0,1,4/5/2023,11:02 AM,Domestic,0.0,false,16242.0,1164,163,12,52,99,1720.0,634.0,153.0,0,0,0,0.0,0.0,0.0
1210,2341210,Harry Reid International Airport,LAS,El Paso International Airport,ELP,4/5/2023,5:30 AM,97,582.0,1,4/5/2023,8:07 AM,Domestic,0.0,false,16242.0,1164,159,11,63,85,2189.0,964.0,176.0,0,0,0,0.0,0.0,0.0
1219,2341219,Abraham Gonzalez International Airport,CJS,Aeropuerto Internacional Benito Juarez,MEX,4/5/2023,5:30 AM,142,957.0,1,4/5/2023,8:52 AM,International,3.0,true,71871.0,2871,145,12,42,91,6589.0,5072.0,931.0,0,0,0,0.0,0.0,0.0
1218,2331218,Heathrow Airport,LHR,El Paso International Airport,ELP,4/5/2023,12:10 PM,645,5148.0,-7,4/5/2023,3:55 PM,International,13.0,true,72726.0,15444,139,11,40,88,8029.0,3305.0,1193.0,0,0,0,0.0,0.0,0.0
1231,2371231,Logan International Airport,BOS,Los Angeles International Airport,LAX,4/5/2023,5:30 AM,326,2269.0,-3,4/5/2023,7:56 AM,Domestic,0.0,true,51587.0,4538,169,15,53,101,2944.0,919.0,276.0,0,0,0,0.0,0.0,0.0
1230,2361230,Los Angeles International Airport,LAX,Orlando International Airport,ORL,4/5/2023,12:10 PM,281,1927.0,3,4/5/2023,7:51 PM,Domestic,0.0,false,71901.0,3854,152,12,54,86,2626.0,783.0,163.0,0,0,0,0.0,0.0,0.0
1228,2341228,Los Angeles International Airport,LAX,Orlando International Airport,ORL,4/5/2023,5:30 AM,281,1927.0,3,4/5/2023,1:11 PM,Domestic,0.0,false,71901.0,3854,161,9,48,104,2541.0,1020.0,344.0,0,0,0,0.0,0.0,0.0
1,2311,El Paso International Airport,ELP,Dallas/Ft. Worth International Airport,DFW,3/23/2023,5:30 AM,94,551.0,1,3/23/2023,8:04 AM,Domestic,0.0,false,11686.0,1102,158,10,63,85,2052.0,1153.0,295.0,0,0,0,0.0,0.0,0.0
1227,2331227,Orlando International Airport,ORL,Los Angeles International Airport,LAX,4/5/2023,12:10 PM,281,1927.0,-3,4/5/2023,1:51 PM,Domestic,0.0,false,70024.0,3854,161,12,54,95,2329.0,979.0,375.0,0,0,0,0.0,0.0,0.0
2,2322,El Paso International Airport,ELP,Dallas/Ft. Worth International Airport,DFW,3/23/2023,8:25 AM,94,551.0,1,3/23/2023,10:59 AM,Domestic,0.0,false,11686.0,1102,166,14,54,98,1745.0,618.0,528.0,0,0,0,0.0,0.0,0.0
1226,2321226,Orlando International Airport,ORL,Los Angeles International Airport,LAX,4/5/2023,8:25 AM,281,1927.0,-3,4/5/2023,10:06 AM,Domestic,0.0,false,70024.0,3854,142,10,43,89,1832.0,1160.0,389.0,0,0,0,0.0,0.0,0.0
